Name,Description,Excerpt,Tree species,Tour,Sequence
White oak (Quercus alba),Continue about thirty yards farther...,"Continue about thirty yards farther and turn onto the path that branches off to the right towards the highway. As you walk towards the traffic light, you will see on your right at the edge of the road a magnificent <i style=""color: rgb(156, 39, 176);"">white Oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus alba</i></b>. Go directly underneath it and admire the beautiful foliage patterns against the sky. The lobes and sinuses of the leaves are rounded. This is the distinguishing mark of the <i style=""color: rgb(156, 39, 176);"">white oak</i> group. <b><i style=""color: rgb(156, 39, 176);"">Quercus alba</i></b> can be identified by the light gray bark which flakes off in thin shreds, increasingly conspicuous on the upper trunk and branches.",Quercus alba,TOUR 2,44
Swamp white oak (Quercus bicolor),Still farther to the right is a swa...,"Still farther to the right is a <i style=""color: rgb(156, 39, 176);"">swamp white oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus bicolor</i></b>, a much smaller specimen. The rounded outlines of its leaves place it in the white oak group. In this species, the leaves broaden towards the tip instead of tapering. The branches are slender, and the lower ones droop like those of the pin oak. You can clinch the identification if you can find some acorns: the <i style=""color: rgb(156, 39, 176);"">swamp white oak</i> bears them in pairs on a distinct stalk.",Quercus bicolor,TOUR 2,45
Black oak (Quercus velutina),If you sight between these trees ac...,"If you sight between these trees across the road, you will see a large <i style=""color: rgb(156, 39, 176);"">black oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus velutina</i></b>. <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">Black oak</i>s</i> belong to the red oak group which is characterized by sharply cut, often needle-pointed leaves. <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">Black oak</i>s</i> can be distinguished from red oaks at a distance by the dark, deeply fissured bark broken into small plates, and by the massive, irregularly curved branches. If you can reach a twig or find a fallen one on the ground, you can confirm your identification. Buds of the <i style=""color: rgb(156, 39, 176);"">black oak</i> are dull-surfaced and fuzzy on the upper half, while those of the red oak are shiny below and fuzzy at the top. <i style=""color: rgb(156, 39, 176);"">Black oak</i> leaves are generally larger and less deeply cut than those of the red oak, but species show so much variation that this is not a liable distinction. Trust your first overall impression: black bark, heavy horizontal branches, and broad, solid-looking leaves mark the <i style=""color: rgb(156, 39, 176);"">black oak</i>, which in maturity is a truly majestic tree.

These oaks and other large trees in this heavily traveled area show dead tops and limbs, the result of injury caused by soil compaction. Roots need air as well as water. Neither can penetrate soil which is packed as hard as concrete. The root areas of irreplaceable trees should be protected by low fences or by barrier plantings of thorny shrubs.",Quercus velutina,TOUR 2,46
Willow oak (Quercus phellos),As you pause at the traffic light b...,"As you pause at the traffic light before crossing, you will see a <i style=""color: rgb(156, 39, 176);"">willow oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus phellos</i></b>, at the edge of the road on your left. The foliage is so slender that the tree is easily mistaken for a willow, especially in spring when the leaves are light willow green. Despite its deceptive foliage, the tree bears acorns and thus proves itself a true oak. <i style=""color: rgb(156, 39, 176);"">Willow oaks</i> are excellent subjects for street planting and general landscape use.",Quercus phellos,TOUR 2,47
Ginkgo (Ginkgo biloba),Cross the road....,"Cross the road. On the left is an unusual and beautiful <b><i style=""color: rgb(156, 39, 176);"">Ginkgo biloba</i></b>. This species is the most primitive type of tree you will see in the Park, as it was in existence before any of the other species developed. Typical <i style=""color: rgb(156, 39, 176);"">ginkgo</i> foliage is flat but this individual has slightly cupped leaves. Again, the more usual form has spreading, often horizontal branches. This particular specimen, with upright branches held close to the trunk, is a fastigiate form.",Ginkgo biloba,TOUR 2,48
American hornbeam (Carpinus caroliniana),"On the right of the path, at the ed...","On the right of the path, at the edge of the road, is a small, gray-barked tree with three main trunks. This is an <i style=""color: rgb(156, 39, 176);"">American hornbeam</i>, <b><i style=""color: rgb(156, 39, 176);"">Carpinus caroliniana</i></b>, one of the very few in the Park. If you examine its clusters of fruit closely, you will find three-lobed bracts in pairs, each with a nutlet in its cupped base. The <i style=""color: rgb(156, 39, 176);"">American hornbeam</i> can be distinguished from the widely planted European species in three ways: its bark is not conspicuously striped, the tip of the central lobe of the bract is pointed, and the leaves take on brilliant red and yellow coloring in autumn.",Carpinus caroliniana,TOUR 2,49
Tulip trees (Liriodendron tulipifera),Follow the path farther into the Pa...,"Follow the path farther into the Park and take a left turn at the intersection. You will pass between two splendid <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">tulip tree</i>s</i>, <b><i style=""color: rgb(156, 39, 176);"">Liriodendron tulipifera</i></b>. A mature <i style=""color: rgb(156, 39, 176);"">tulip tree</i> is notable for its towering height and for its straight trunk, often bare of branches up to the crown. Under favorable conditions, where roots are not damaged by compaction and erosion as they are here, this species will reach 150 feet. The square-cut leaf tips are a ready means of identification.",Liriodendron tulipifera,TOUR 2,50
Camperdown elm (Ulmus glabra 'camperdownii'),Walk through East Wood Arch....,"Walk through East Wood Arch. At the drinking fountain, take a short detour to the left, behind and beyond the Boat House, to see the renowned <i style=""color: rgb(156, 39, 176);"">Camperdown elm</i>. This is fully described in Tour I.

Returning to the drinking fountain, keep walking straight ahead. On the right you will see a large sycamore maple, Acer pseudoplatanus. This is a coarse, invasive tree suitable only for rough places and greatly overplanted in Prospect Park. The heavy-textured leaves are broad with deeply indented veins. The green flowers hang in long clusters and give the tree in spring a fleeting resemblance to a giant laburnum. The key fruits, also in grapelike clusters, are an easy mark of identification.",Ulmus glabra 'Camperdownii',TOUR 2,51
Sycamore maple (Acer pseudoplatanus),Walk through East Wood Arch....,"Walk through East Wood Arch. At the drinking fountain, take a short detour to the left, behind and beyond the Boat House, to see the renowned Camperdown elm. This is fully described in Tour I.

Returning to the drinking fountain, keep walking straight ahead. On the right you will see a large <i style=""color: rgb(156, 39, 176);"">sycamore maple</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer pseudoplatanus</i></b>. This is a coarse, invasive tree suitable only for rough places and greatly overplanted in Prospect Park. The heavy-textured leaves are broad with deeply indented veins. The green flowers hang in long clusters and give the tree in spring a fleeting resemblance to a giant laburnum. The key fruits, also in grapelike clusters, are an easy mark of identification.",Acer pseudoplatanus,TOUR 2,52
Black haw (Viburnum prunifolium),On the right at the far end of the ...,"On the right at the far end of the bridge, the gracefully arched shrub is a <i style=""color: rgb(156, 39, 176);"">black haw</i>, <b><i style=""color: rgb(156, 39, 176);"">Viburnum prunifolium</i></b>. The bark of the trunk and older branches resembles that of a dogwood but in miniature scale. Foliage is clean and delicate and turns a glowing rose-red in fall.",Viburnum prunifolium,TOUR 2,53
Scarlet oaks (Quercus coccinea),About forty-five yards beyond the b...,"About forty-five yards beyond the bridge, by the tall post with two spotlights on the left, you will find two <i style=""color: rgb(156, 39, 176);"">scarlet oaks</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus coccinea</i></b>, just inside the fence. The leaves of <i style=""color: rgb(156, 39, 176);"">scarlet oaks</i> are shiny on the underside, with deeply cut, almost circular sinuses. The tree is notable for its flaming fall color.
Scarlet oaks are considered by some authorities to be natural hybrids between red and pin oaks. The latter species show great variation in the size and shape of their leaves. Their reputed offspring inherit the vagaries of both parents and even invent some diversities of their own. If you can't tell scarlet oaks from red or pin, don't worry. You're in good company. Experts sometimes disagree.",Quercus coccinea,TOUR 2,54
Tulip trees (Liriodendron tulipifera),"Behind the scarlet oaks, nearer the...","Behind the scarlet oaks, nearer the lake, are three <i style=""color: rgb(156, 39, 176);"">tulip trees</i> whose bark is worth observing. The slenderest of the three has normal straight-up-and-down striping. The two others show a spiral pattern which twists from the base right to the top.",Liriodendron tulipifera,TOUR 2,55
London planes (Platanus hispanica),Continue ahead to the temporary ref...,"Continue ahead to the temporary refreshment stand and turn right. In the gravel areas on the left of the path and on the right in front of the Music Pagoda are many <i style=""color: rgb(156, 39, 176);"">London planes</i>. Their peeling, piebald bark stands out among more soberly colored trees.",Platanus hispanica,TOUR 2,56
American elm (Ulmus americana),"Walk ahead, taking the first left t...","Walk ahead, taking the first left turn which brings you to the open meadow called the Nethermead. On a mound to the left, by lamp post M 230, stands a great <i style=""color: rgb(156, 39, 176);"">American elm</i>, <b><i style=""color: rgb(156, 39, 176);"">Ulmus americana</i></b>, the oldest tree in the Park. Its age is estimated by the Bartlett Tree Company as well over three hundred years. This elm was therefore a mature tree when George Washington's outnumbered forces fought their gallant retreat across this field on August 27, 1776. With the 200th anniversary of the Battle of Long Island approaching, it is more than ever essential to preserve this magnificent elm as a living monument.

In the early 1930's, the Park's arboriculturist, John Herlihy, supervised WPA work on the elm. The 20 foot cavity in the trunk was cleaned and filled and the enormous spreading canopy was reinforced with rods and cables to prevent splitting.

In the fall of 1967, the elm was given deep root feeding through the Camperdown Fund, a program organized by the Friends of Prospect Park to save the Park's historic trees. The Fund's resources in its first year were not sufficient to cover necessary pruning. This is a goa1 for tree lovers, patriots, and historians in 1968.

Elms have extremely shallow root systems which are especially vulnerable to injury from compacted soil. A temporary fence and mulching would loosen the soil, admit air and water, and encourage the growth of new feeding roots.

Before you leave, walk into the meadow for a full view of this truly noble tree, and bow to the memory of John Herlihy whose wise concern saved the great elm for your enjoyment and wonder.
Here's a good stopping point. If you are tired, come back and pick up the second half of the tour another day, or rest awhile in the Music Grove and start again at the American elm.",Ulmus americana,TOUR 2,57
Osage orange (Maclura pomifera),Continuing along the path bordering...,"Continuing along the path bordering the Nethermead, you come to an <i style=""color: rgb(156, 39, 176);"">Osage orange</i>, <b><i style=""color: rgb(156, 39, 176);"">Maclura pomifera</i></b>, with its two trunks secured with rods. The tree is native to Osage Indian country, a small area at the junction of Arkansas, Oklahoma, and Texas. The ""orange"" -- hard and inedible -- may grow as large as 5"" in diameter when mature in autumn. The glossy foliage is attractive but the tree is perhaps most striking in winter when its bright orange bark is fully revealed.",Maclura pomifera,TOUR 2,58
Pagoda tree (Styphnolobium japonicum),"On the right of the path, opposite ...","On the right of the path, opposite the Osage orange, is a grove of Sophora japonica, the scholar or <i style=""color: rgb(156, 39, 176);"">pagoda tree</i>. The largest, presumably the parent of the others, has an impressive buttress of surface roots, grown into a solid collar and covered with bark. A badly cut stub on the trunk has been corrected, and the exposed wood of other wounds sealed with dressing. This work was done without charge by the Bartlett Company as their contribution to the tree salvage program of the Friends of Prospect Park.",Styphnolobium japonicum,TOUR 2,59
Mockernut hickory (Carya tomentosa),"Just beyond the sophoras, inside th...","Just beyond the sophoras, inside the fence on the right, is a young hickory, a genus poorly represented in Prospect Park. In the absence of nuts, it is not possible to identify the species positively but all other characteristics -- fat buds, thick twigs, and horse-faced leaf scars -- point to the <i style=""color: rgb(156, 39, 176);"">mockernut hickory</i>, <b><i style=""color: rgb(156, 39, 176);"">Carya tomentosa</i></b>.

Pound for pound, the wood of hickory is stronger than steel but less brittle. Because of its resistance to the heat of friction, it was used for the hubs of wooden wheels. Hickory is unequaled for making handles for axes, chisels, and other striking tools because it can withstand the shock of impact without splintering. Its ability to endure violent strains makes it the prime material for wooden skis. General Andrew Jackson's affectionate nickname of ""Old Hickory"" was a double tribute to the toughness and resilience of man and tree.",Carya tomentosa,TOUR 2,60
English yew (Taxus baccata),Follow the stream a short distance ...,"Follow the stream a short distance ahead to lamp post G 232 on your left. Go up the steps and out to the road. On the far side, a little to your right, is a shrubby <i style=""color: rgb(156, 39, 176);"">English <i style=""color: rgb(156, 39, 176);"">yew</i></i>, <b><i style=""color: rgb(156, 39, 176);"">Taxus baccata</i></b>, about 15 feet high. Like boxwood, this <i style=""color: rgb(156, 39, 176);"">yew</i> is on the borderline of hardiness in this region. A specimen of this size is unusual. The fruit is red and contains poisonous seeds.",Taxus baccata,TOUR 2,61
Osage orange (Maclura pomifera),"As you cross the bridge, note the O...","As you cross the bridge, note the <i style=""color: rgb(156, 39, 176);"">Osage orange</i> growing below at the far left corner. Since your viewpoint is level with its upper branches, you should be able to spot the ""oranges"" even in early summer when they are still small.",Maclura pomifera,TOUR 2,62
White oak (Quercus alba),"Just before the tall lamp post, N 2...","Just before the tall lamp post, N 254, is a double-trunked tree with a reinforced crotch. Notice how bark has grown out along the rods in an effort to heal the wound. This is one of the easier oaks to identify. Rounded leaf outlines and pale, flaking bark: did you recognize the marks of the <i style=""color: rgb(156, 39, 176);"">white oak</i>?",Quercus alba,TOUR 2,63
Red maples (Acer rubrum),"On the left, just beyond the storm ...","On the left, just beyond the storm sewer and about 20 feet from the edge of the road, is a red or swamp maple, <b><i style=""color: rgb(156, 39, 176);"">Acer rubrum</i></b>. Its red flowers on leafless branches are one of the first signs of spring. Red key fruits and dazzling red autumn color further carry out its name. Young <i style=""color: rgb(156, 39, 176);"">red maples</i> typically have smooth, pale gray bark but this individual has a number of burls -- abnormal growths -- on the trunk.",Acer rubrum,TOUR 2,64
White oak (Quercus alba),"Again on the left, behind lamp post...","Again on the left, behind lamp post N 252, is a large <i style=""color: rgb(156, 39, 176);"">white oak</i>. To its left and partly hidden behind it is a sweet gum, Liquidambar styraciflua. This is recognized by its star-shaped leaves and spiky, woody fruit balls.",Quercus alba,TOUR 2,65
Sweet gum (Liquidambar styraciflua),"Again on the left, behind lamp post...","Again on the left, behind lamp post N 252, is a large white oak. To its left and partly hidden behind it is a <i style=""color: rgb(156, 39, 176);"">sweet gum</i>, <b><i style=""color: rgb(156, 39, 176);"">Liquidambar styraciflua</i></b>. This is recognized by its star-shaped leaves and spiky, woody fruit balls.",Liquidambar styraciflua,TOUR 2,66
Pink-flowering horsechestnut (Aesculus carnea),Just beyond the gravel path on the ...,"Just beyond the gravel path on the left is a <i style=""color: rgb(156, 39, 176);"">pink-flowering horsechestnut</i>, <b><i style=""color: rgb(156, 39, 176);"">Aesculus carnea</i></b>, a hybrid form grafted on common horsechestnut understock. The line of the graft is clearly marked by differing bark color and texture.",Aesculus carnea,TOUR 2,67
Low-branched red oak (Quercus rubra),"Farther along on the right, a numbe...","Farther along on the right, a number of oak species offers an opportunity to review and compare their characteristics. Opposite the tall lamp post N 231 is a <i style=""color: rgb(156, 39, 176);"">low-branched red oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus rubra</i></b>, with another to your right as you face it. Their relatively smooth bark is marked with interlacing lines of lighter gray, giving the illusion that the crevices have been filled with putty. Compare this pattern with the dark, rough bark of the black oak on the near side of lamp post N 223, and with the light gray, flaking bark of the white oak just beyond the asphalt path to the right.",Quercus rubra,TOUR 2,68
Black oak (Quercus velutina),"Farther along on the right, a numbe...","Farther along on the right, a number of oak species offers an opportunity to review and compare their characteristics. Opposite the tall lamp post N 231 is a low-branched red oak, Quercus rubra, with another to your right as you face it. Their relatively smooth bark is marked with interlacing lines of lighter gray, giving the illusion that the crevices have been filled with putty. Compare this pattern with the dark, rough bark of the <i style=""color: rgb(156, 39, 176);"">black oak</i> on the near side of lamp post N 223, and with the light gray, flaking bark of the white oak just beyond the asphalt path to the right.",Quercus velutina,TOUR 2,69
White oak (Quercus alba),"Farther along on the right, a numbe...","Farther along on the right, a number of oak species offers an opportunity to review and compare their characteristics. Opposite the tall lamp post N 231 is a low-branched red oak, Quercus rubra, with another to your right as you face it. Their relatively smooth bark is marked with interlacing lines of lighter gray, giving the illusion that the crevices have been filled with putty. Compare this pattern with the dark, rough bark of the black oak on the near side of lamp post N 223, and with the light gray, flaking bark of the <i style=""color: rgb(156, 39, 176);"">white oak</i> just beyond the asphalt path to the right.",Quercus alba,TOUR 2,70
European cherry (Prunus avium),"As you face the automotive highway,...","As you face the automotive highway, take the asphalt footpath to your left. On your right is a large cherry tree with an unusually tall, straight trunk. Note how the bark is lined with horizontal bands of small pores or lenticels. This is a cultivated <i style=""color: rgb(156, 39, 176);"">European cherry</i>, <b><i style=""color: rgb(156, 39, 176);"">Prunus avium</i></b>, with large flowers and edible fruit.",Prunus avium,TOUR 2,71
White oak (Quercus alba),Across the path is a magnificent tr...,"Across the path is a magnificent tree with a trunk dividing about ten feet above ground. Round-edged leaves, pale flaking bark -- by now you should know a <i style=""color: rgb(156, 39, 176);"">white oak</i> at first sight.",Quercus alba,TOUR 2,72
Black haw (Viburnum prunifolium),"Some distance ahead, on the left by...","Some distance ahead, on the left by lamp post N 229, is an outstandingly fine specimen of <i style=""color: rgb(156, 39, 176);"">black haw</i>, <b><i style=""color: rgb(156, 39, 176);"">Viburnum prunifolium</i></b>, one of our handsomest native shrubs. The red color of its leaf stems and the large size of its flower clusters are unusually decorative. Superior forms like this should be propagated for distribution to nurseries.",Viburnum prunifolium,TOUR 2,73
Sweet pepperbush (Clethra alnifolia),"Another fine native shrub, Clethra ...","Another fine native shrub, <b><i style=""color: rgb(156, 39, 176);"">Clethra alnifolia</i></b>, the <i style=""color: rgb(156, 39, 176);"">sweet pepperbush</i>, grows about fifteen feet from the path on the right, a short distance before you come to lamp post N 230. The clethra has upright spikes of deliciously sweet-scented white flowers, doubly valued for their appearance in midsummer. lf the clethra is not in bloom, you can recognize it by the brown, persistent seed capsules that tip its branches. A sassafras has seeded into the clethra and will destroy the shrub unless it is removed. Extensive planting of clethras would give walkers on this woodland path a special delight.",Clethra alnifolia,TOUR 2,74
Sweet gum (Liquidambar styraciflua),As you come to the division of the ...,"As you come to the division of the path, directly ahead on the the triangle is a <i style=""color: rgb(156, 39, 176);"">sweet gum</i>. Look for the star-shaped leaves and for the prickly fruit balls on the ground or dangling from the outer branches. The <i style=""color: rgb(156, 39, 176);"">sweet gum</i> is valued for its flamboyant autumn color, sometimes showing yellow, apricot, red, and rose-purple on the same tree.",Liquidambar styraciflua,TOUR 2,75
Black cherries (Prunus capollin),"The two trees to the left, with tru...","The two trees to the left, with trunks about a foot apart at the base, are native <i style=""color: rgb(156, 39, 176);"">black cherries</i>, <b><i style=""color: rgb(156, 39, 176);"">Prunus serotina</i></b>. These carry their flowers in long racemes or spikes. The fruit is invaluable food for wild birds as it ripens over a long period.

The path ends at a place where the road was straightened in August 1967, for the benefit of speeding automobiles. Among other trees, a superb Sophora japonica was sacrificed. This was the finest of its species in the Park, with heavy, sculptural burls that gave it a look of great antiquity.

Stand here for a moment to watch the traffic. It violates the tranquility of Olmsted and Vaux's pastoral landscape, designed as a refuge from the noise, rush, and smells of the city. Deterioration of our parks will continue as long as automobiles are given priority over trees and grass.

If you visit Prospect Park on a day when automobiles are banned and bicycles silently skim the roads, you will enjoy the mood of quiet relaxation for which Prospect Park was designed.

Going through the Zoo to Flatbush Avenue and turning right, you come to the Lefferts Homestead, a farmhouse dating from the Revolutionary war and eminently worth a visit. The Homestead is furnished with antiques of the period, many of them provided by the Fort Greene Chapter of the D.A.R. . . .

Even today complaint is made that the drives are not wide enough and we understand that the Department is constantly pressed to enlarge them. Once already it has yielded to such pressure and widened a considerable stretch of road, destroying many of the finest trees on the ground in order to do so, and readjusting walks and other features to the injury of the rural character of the ground.

",Prunus capollin,TOUR 2,76
TOUR 3,"TOUR III

Stranahan Gate on Grand...","TOUR III

Stranahan Gate on Grand Army Plaza near Flatbush Avenue, reached by IRT 7th Avenue subway. Get off at Brooklyn Museum Station and follow arrows to Brooklyn Public Library.",,TOUR 3,77
Austrian pines (Pinus nigra),Take the path at the left of the hi...,"Take the path at the left of the highway as you face the Park, with the Ingersoll Library on your left and the Stranahan statue on your right. Just inside the gate at the left are a dozen <i style=""color: rgb(156, 39, 176);"">Austrian pines</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus nigra</i></b>. One of these, at the far end of the group on the Flatbush Avenue side, has produced a dense mass of extremely compressed growth near its top. Sports of this sort are propagated by cuttings or grafts to create miniature shrubs for rock gardens or bonsai. It would be an achievement to introduce a new dwarf variety which originated in Prospect Park.",Pinus nigra,TOUR 3,78
Austrian pines (Pinus nigra),"Another Austrian pine, standing alo...","Another <i style=""color: rgb(156, 39, 176);"">Austrian pine</i>, standing alone on the right side of the path, shows an especially decorative silhouette. Like the others, its stiff 6"" needles are in pairs, grayish green in color, and often slightly twisted. The bark of <i style=""color: rgb(156, 39, 176);"">Austrian pine</i>s is distinctively marked with wide gray plateaus separated by dark canyons. This pine has long been a favorite in our parks because of its ability to flourish under city conditions.",Pinus nigra,TOUR 3,79
Blue spruces (Picea pungens),In the same plot at the right are t...,"In the same plot at the right are three <i style=""color: rgb(156, 39, 176);"">blue spruces</i>, <b><i style=""color: rgb(156, 39, 176);"">Picea pungens</i></b> glauca, and two oriental spruces, P. orientalis. The needles of the oriental Spruce, about 1/3"" long, are the smallest of any of the spruces. The sparse, stunted growth of these trees -- in contrast to the thriving Austrian pines -- clearly demonstrates that spruces in general are not adapted to city life.",Picea pungens,TOUR 3,80
Oriental spruces (Picea orientalis),In the same plot at the right are t...,"In the same plot at the right are three blue spruces, Picea pungens glauca, and two <i style=""color: rgb(156, 39, 176);"">oriental spruces</i>, <b><i style=""color: rgb(156, 39, 176);"">P. orientalis</i></b>. The needles of the <i style=""color: rgb(156, 39, 176);"">oriental Spruce</i>, about 1/3"" long, are the smallest of any of the spruces. The sparse, stunted growth of these trees -- in contrast to the thriving Austrian pines -- clearly demonstrates that spruces in general are not adapted to city life.",Picea orientalis,TOUR 3,81
Saucer magnolias (Magnolia soulangeana),In this area are two saucer magnoli...,"In this area are two <i style=""color: rgb(156, 39, 176);"">saucer magnolias</i> (<b><i style=""color: rgb(156, 39, 176);"">Magnolia soulangeana</i></b>), two flowering dogwoods (Cornus florida), and a cut-leaf Japanese maple (Acer palmatum). The last can be identified in winter by its pale gray bark lined with dark, broken, vertical striping.",Magnolia soulangeana,TOUR 3,82
Flowering dogwoods (Cornus florida),In this area are two saucer magnoli...,"In this area are two saucer magnolias (Magnolia soulangeana), two <i style=""color: rgb(156, 39, 176);"">flowering dogwoods</i> (<b><i style=""color: rgb(156, 39, 176);"">Cornus florida</i></b>), and a cut-leaf Japanese maple (Acer palmatum). The last can be identified in winter by its pale gray bark lined with dark, broken, vertical striping.",Cornus florida,TOUR 3,83
Japanese maple (Acer palmatum),In this area are two saucer magnoli...,"In this area are two saucer magnolias (Magnolia soulangeana), two flowering dogwoods (Cornus florida), and a cut-leaf <i style=""color: rgb(156, 39, 176);"">Japanese maple</i> (<b><i style=""color: rgb(156, 39, 176);"">Acer palmatum</i></b>). The last can be identified in winter by its pale gray bark lined with dark, broken, vertical striping.",Acer palmatum,TOUR 3,84
Purple beeches (Fagus sylvatica),Near the police kiosk is a purple b...,"Near the police kiosk is a <i style=""color: rgb(156, 39, 176);"">purple beech</i>, <b><i style=""color: rgb(156, 39, 176);"">Fagus sylvatica</i></b> purpurea, a variety of <i style=""color: rgb(156, 39, 176);"">European beech</i>. <i style=""color: rgb(156, 39, 176);"">Purple beeches</i> were greatly admired and extensively planted by Victorian landscapers and now, grown to enormous size, are a prominent feature of many parks and old estates.",Fagus sylvatica,TOUR 3,85
Two-trunked silverbell (Halesia carolina),"Ahead and to the left, on a little ...","Ahead and to the left, on a little hillock that juts into the path, is a <i style=""color: rgb(156, 39, 176);"">two-trunked silverbell</i>, <b><i style=""color: rgb(156, 39, 176);"">Halesia Carolina</i></b>, a native of our southern states. The bell-shaped flowers appear in great profusion in spring. This specimen is dying and should be replaced.",Halesia carolina,TOUR 3,86
European beech (Fagus sylvatica),As the path turns toward Endale Arc...,"As the path turns toward Endale Arch, on the bank at the right side is a large <i style=""color: rgb(156, 39, 176);"">European beech</i>, <b><i style=""color: rgb(156, 39, 176);"">Fagus sylvatica</i></b>, which probably dates from the Park's original planting. It is characterized by smooth, light gray bark; a habit of surface rooting; long, pointed, shin, brown leaf buds in winter; and, unfortunately, defacing initials carved in the trunk.",Fagus sylvatica,TOUR 3,87
Silver lindens (Tilia tomentosa),"For a short detour, go uphill past ...","For a short detour, go uphill past the arch and look up the slope at the right to a close cluster of <i style=""color: rgb(156, 39, 176);"">silver lindens</i>, <b><i style=""color: rgb(156, 39, 176);"">Tilia tomentosa</i></b>. This species gets both its common and its scientific name from the feltlike underside of its leaves. The bark of this particular group is unusually smooth. On the opposite hill, a similar cluster with more typically striped bark balances this group.

Turn around at this high point for a good view of the Soldiers and Sailors Monument, then walk back towards Endale Arch. Before you reach the fork in the path, notice the shrubby Styrax japonica on the grassy slope on the right. In early June the styrax is hung with pointed white bells set with a yellow clapper and carrying a delicious fragrance. The styrax has clean, trim foliage and is highly recommended as a decorative tree for small properties. It looks its best when pruned to a single trunk, limbed high enough so that one can walk under its arching branches to view the massed flowers against the sky.

Go through the arch: the Long Meadow stretches before you. This is Prospect Park's most renowned feature, a mile-long sweep of unspoiled countryside, the largest expanse of grassland in any city park the world over. More than any other feature, the Long Meadow gives Prospect Park the pastoral quality which is the essence of Olmsted and Vaux's design.",Tilia tomentosa,TOUR 3,88
Ginkgo (Ginkgo biloba),"Taking the right fork of the path, ...","Taking the right fork of the path, you will see -- and perhaps smell -- a large <i style=""color: rgb(156, 39, 176);"">ginkgo</i>, <b><i style=""color: rgb(156, 39, 176);"">Ginkgo biloba</i></b>, on your right. The <i style=""color: rgb(156, 39, 176);"">ginkgo</i> is a familiar city tree easily recognized by its small fan-shaped leaves. This particular specimen is a female tree which bears quantities of evil-smelling fruit in autumn. Only the flesh is offensive: the nut is prized as a delicacy, especially by the Chinese. Female trees are now rare in cultivation as nurserymen propagate and sell only male trees, which of course bear no fruit.",Ginkgo biloba,TOUR 3,89
Tupelo (Nyssa sylvatica),At the left of the footpath and sli...,"At the left of the footpath and slightly ahead is large specimen of <b><i style=""color: rgb(156, 39, 176);"">Nyssa sylvatica</i></b>, known in various localities as <i style=""color: rgb(156, 39, 176);"">sour gum</i>, pepperidge, and <i style=""color: rgb(156, 39, 176);"">tupelo</i>. The last name may be familiar on breakfast tables as it identifies the delicately fragrant <i style=""color: rgb(156, 39, 176);"">tupelo</i> honey. The <i style=""color: rgb(156, 39, 176);"">sour gum</i> is the earliest of our native trees to show autumn color, sometimes turning scarlet or claret red in late July when it glows among its still-green companions.",Nyssa sylvatica,TOUR 3,90
Purple beech (Fagus sylvatica),"At some distance on the right, on t...","At some distance on the right, on the slope of the hill, is a <i style=""color: rgb(156, 39, 176);"">purple beech</i>; and ahead, again on the right two Schwedler maples. Acer platanoides schwedleri, a variety of Norway maple. Their red foliage has a stained glass radiance in spring, especially when seen with the sun behind it. Later, the leaves turn green but an underlying hint of red persists and darkens their color all summer.",Fagus sylvatica,TOUR 3,91
Norway maple (Acer platanoides),"At some distance on the right, on t...","At some distance on the right, on the slope of the hill, is a purple beech; and ahead, again on the right two <i style=""color: rgb(156, 39, 176);"">Schwedler maples</i>. <b><i style=""color: rgb(156, 39, 176);"">Acer platanoides</i></b> schwedleri, a variety of <i style=""color: rgb(156, 39, 176);"">Norway maple</i>. Their red foliage has a stained glass radiance in spring, especially when seen with the sun behind it. Later, the leaves turn green but an underlying hint of red persists and darkens their color all summer.",Acer platanoides,TOUR 3,92
Tulip tree (Liriodendron tulipifera),Behind the maples but higher on the...,"Behind the maples but higher on the bank, the tallest tree is a <i style=""color: rgb(156, 39, 176);"">tulip tree</i>, <b><i style=""color: rgb(156, 39, 176);"">Liriodendron tulipifera</i></b>. One of our finest natives, the <i style=""color: rgb(156, 39, 176);"">tulip tree</i> can be identified by its blunt leaf tips, pale green and orange flowers, and the conelike fruits that show up against the winter sky.",Liriodendron tulipifera,TOUR 3,93
